ID,Stimulus,Age,Sex,DominantHand,ReactionTime
03,1,18,M,Right,2387
03,2,18,M,Right,1347
03,3,18,M,Right,1009
03,4,18,M,Right,1166
03,5,18,M,Right,1605
03,6,18,M,Right,1059
03,7,18,M,Right,1856
03,8,18,M,Right,1169
03,9,18,M,Right,2320
03,10,18,M,Right,989
03,11,18,M,Right,1020
03,12,18,M,Right,2337
03,13,18,M,Right,2027
03,14,18,M,Right,1303
03,15,18,M,Right,678
03,16,18,M,Right,2451
03,17,18,M,Right,1055
03,18,18,M,Right,828
03,19,18,M,Right,1457
03,20,18,M,Right,1935
03,21,18,M,Right,2002
03,22,18,M,Right,2258
03,23,18,M,Right,1320
03,24,18,M,Right,1710
03,25,18,M,Right,1676
03,26,18,M,Right,704
03,27,18,M,Right,1198
03,28,18,M,Right,1467
03,29,18,M,Right,2369
03,30,18,M,Right,1682
03,31,18,M,Right,1112
03,32,18,M,Right,2341
03,33,18,M,Right,1452
03,34,18,M,Right,2064
03,35,18,M,Right,2121
03,36,18,M,Right,2413
03,37,18,M,Right,2108
03,38,18,M,Right,974
03,39,18,M,Right,1638
03,40,18,M,Right,1110
03,41,18,M,Right,1214
03,42,18,M,Right,2175
03,43,18,M,Right,1339
03,44,18,M,Right,512
03,45,18,M,Right,698
03,46,18,M,Right,2449
