ID,Stimulus,Age,Sex,DominantHand,ReactionTime
01,1,47,F,Left,1875
01,2,47,F,Left,1332
01,3,47,F,Left,2139
01,4,47,F,Left,2270
01,5,47,F,Left,539
01,6,47,F,Left,622
01,7,47,F,Left,2348
01,8,47,F,Left,895
01,9,47,F,Left,2279
01,10,47,F,Left,1725
01,11,47,F,Left,937
01,12,47,F,Left,1993
01,13,47,F,Left,1241
01,14,47,F,Left,2306
01,15,47,F,Left,2228
01,16,47,F,Left,928
01,17,47,F,Left,1480
01,18,47,F,Left,2215
01,19,47,F,Left,1597
01,20,47,F,Left,1254
01,21,47,F,Left,1687
01,22,47,F,Left,1223
01,23,47,F,Left,1732
01,24,47,F,Left,1581
01,25,47,F,Left,547
01,26,47,F,Left,2197
01,27,47,F,Left,622
01,28,47,F,Left,809
01,29,47,F,Left,872
01,30,47,F,Left,1243
01,31,47,F,Left,2378
01,32,47,F,Left,1979
